[2026-01-04 14:15:47.712860] MAIN MODULE LOADED
[2026-01-04 14:15:47.810908] MAIN MODULE LOADED
[2026-01-04 14:21:03.272629] LOOP START. Active: False
[2026-01-04 14:21:08.274923] LOOP START. Active: False
[2026-01-04 14:21:13.276595] LOOP START. Active: False
[2026-01-04 14:21:18.278580] LOOP START. Active: False
[2026-01-04 14:21:23.280795] LOOP START. Active: False
[2026-01-04 14:21:28.282821] LOOP START. Active: False
[2026-01-04 14:21:33.284481] LOOP START. Active: False
[2026-01-04 14:21:38.286295] LOOP START. Active: False
[2026-01-04 14:21:43.287024] LOOP START. Active: False
[2026-01-04 14:21:48.288004] LOOP START. Active: False
[2026-01-04 14:21:53.289716] LOOP START. Active: False
[2026-01-04 14:21:58.291587] LOOP START. Active: False
[2026-01-04 14:22:03.292771] LOOP START. Active: False
[2026-01-04 14:22:08.294421] LOOP START. Active: False
[2026-01-04 14:22:13.294605] LOOP START. Active: False
[2026-01-04 14:22:18.295881] LOOP START. Active: False
[2026-01-04 14:22:23.297354] LOOP START. Active: False
[2026-01-04 14:22:28.299496] LOOP START. Active: False
[2026-01-04 14:22:33.302517] LOOP START. Active: False
[2026-01-04 14:22:38.304906] LOOP START. Active: False
[2026-01-04 14:22:43.306280] LOOP START. Active: False
[2026-01-04 14:22:48.307261] LOOP START. Active: False
[2026-01-04 14:22:53.307610] LOOP START. Active: False
[2026-01-04 14:22:58.309135] LOOP START. Active: False
[2026-01-04 14:23:03.310508] LOOP START. Active: False
[2026-01-04 14:23:08.312665] LOOP START. Active: False
[2026-01-04 14:23:13.314749] LOOP START. Active: False
[2026-01-04 14:23:18.316154] LOOP START. Active: False
[2026-01-04 14:23:23.317848] LOOP START. Active: False
[2026-01-04 14:23:28.320019] LOOP START. Active: False
[2026-01-04 14:23:33.322148] LOOP START. Active: False
[2026-01-04 14:23:38.324542] LOOP START. Active: False
[2026-01-04 14:23:43.324574] LOOP START. Active: False
[2026-01-04 14:23:48.326691] LOOP START. Active: False
[2026-01-04 14:23:53.328235] LOOP START. Active: False
[2026-01-04 14:23:58.330310] LOOP START. Active: False
[2026-01-04 14:24:03.331608] LOOP START. Active: False
[2026-01-04 14:24:08.333556] LOOP START. Active: False
[2026-01-04 14:24:13.334638] LOOP START. Active: False
[2026-01-04 14:24:18.337845] LOOP START. Active: False
[2026-01-04 14:24:23.338648] LOOP START. Active: False
[2026-01-04 14:24:28.342020] LOOP START. Active: False
[2026-01-04 14:24:33.342786] LOOP START. Active: False
[2026-01-04 14:24:38.343563] LOOP START. Active: False
[2026-01-04 14:24:43.345263] LOOP START. Active: False
[2026-01-04 14:24:48.346566] LOOP START. Active: False
[2026-01-04 14:24:53.348077] LOOP START. Active: False
[2026-01-04 14:24:58.349968] LOOP START. Active: False
[2026-01-04 14:25:03.352324] LOOP START. Active: False
[2026-01-04 14:25:08.355092] LOOP START. Active: False
[2026-01-04 14:25:13.355521] LOOP START. Active: False
[2026-01-04 14:25:18.357056] LOOP START. Active: False
[2026-01-04 14:25:23.359259] LOOP START. Active: False
[2026-01-04 14:25:28.361612] LOOP START. Active: False
[2026-01-04 14:25:33.364308] LOOP START. Active: False
[2026-01-04 14:25:38.365741] LOOP START. Active: False
[2026-01-04 14:25:43.368728] LOOP START. Active: False
[2026-01-04 14:25:48.369870] LOOP START. Active: False
[2026-01-04 14:25:53.371288] LOOP START. Active: False
[2026-01-04 14:25:58.374550] LOOP START. Active: False
[2026-01-04 14:26:03.377394] LOOP START. Active: False
[2026-01-04 14:26:08.381231] LOOP START. Active: False
[2026-01-04 14:26:13.381769] LOOP START. Active: False
[2026-01-04 14:26:18.384596] LOOP START. Active: False
[2026-01-04 14:26:23.386469] LOOP START. Active: False
[2026-01-04 14:26:28.389475] LOOP START. Active: False
[2026-01-04 14:26:33.393038] LOOP START. Active: False
[2026-01-04 14:26:38.394937] LOOP START. Active: False
[2026-01-04 14:26:43.397697] LOOP START. Active: False
[2026-01-04 14:26:48.399078] LOOP START. Active: False
[2026-01-04 14:26:53.401310] LOOP START. Active: False
[2026-01-04 14:26:58.403718] LOOP START. Active: False
[2026-01-04 14:27:03.411829] LOOP START. Active: False
[2026-01-04 14:27:08.419541] LOOP START. Active: False
[2026-01-04 14:27:13.425865] LOOP START. Active: False
[2026-01-04 14:27:18.429176] LOOP START. Active: False
[2026-01-04 14:27:23.433228] LOOP START. Active: False
[2026-01-04 14:27:28.435854] LOOP START. Active: False
[2026-01-04 14:27:33.439091] LOOP START. Active: False
[2026-01-04 14:27:38.442407] LOOP START. Active: False
[2026-01-04 14:27:43.447145] LOOP START. Active: False
[2026-01-04 14:27:48.447925] LOOP START. Active: False
[2026-01-04 14:27:53.449905] LOOP START. Active: False
[2026-01-04 14:27:58.451024] LOOP START. Active: False
[2026-01-04 14:28:03.451428] LOOP START. Active: False
[2026-01-04 14:28:08.452825] LOOP START. Active: False
[2026-01-04 14:28:13.454873] LOOP START. Active: False
[2026-01-04 14:28:18.455332] LOOP START. Active: False
[2026-01-04 14:28:23.456776] LOOP START. Active: False
[2026-01-04 14:28:28.458057] LOOP START. Active: False
[2026-01-04 14:28:33.458908] LOOP START. Active: False
[2026-01-04 14:28:38.459878] LOOP START. Active: False
[2026-01-04 14:28:43.461253] LOOP START. Active: False
[2026-01-04 14:28:48.462942] LOOP START. Active: False
[2026-01-04 14:28:53.470630] LOOP START. Active: False
[2026-01-04 14:28:58.472510] LOOP START. Active: False
[2026-01-04 14:29:03.476197] LOOP START. Active: False
[2026-01-04 14:29:08.478469] LOOP START. Active: False
[2026-01-04 14:29:13.479398] LOOP START. Active: False
[2026-01-04 14:29:18.483702] LOOP START. Active: False
[2026-01-04 14:29:23.488572] LOOP START. Active: False
[2026-01-04 14:29:28.489275] LOOP START. Active: False
[2026-01-04 14:29:33.490817] LOOP START. Active: False
[2026-01-04 14:29:38.493011] LOOP START. Active: False
[2026-01-04 14:29:43.493488] LOOP START. Active: False
[2026-01-04 14:29:48.496326] LOOP START. Active: False
[2026-01-04 14:29:53.498708] LOOP START. Active: False
[2026-01-04 14:29:58.500028] LOOP START. Active: False
[2026-01-04 14:30:03.501031] LOOP START. Active: False
[2026-01-04 14:30:08.502348] LOOP START. Active: False
[2026-01-04 14:30:13.502911] LOOP START. Active: False
[2026-01-04 14:30:18.503276] LOOP START. Active: False
[2026-01-04 14:30:23.503715] LOOP START. Active: False
[2026-01-04 14:30:28.504510] LOOP START. Active: False
[2026-01-04 14:30:33.505076] LOOP START. Active: False
[2026-01-04 14:30:38.507325] LOOP START. Active: False
[2026-01-04 14:30:43.507839] LOOP START. Active: False
[2026-01-04 14:30:48.509108] LOOP START. Active: False
[2026-01-04 14:30:53.510044] LOOP START. Active: False
[2026-01-04 14:30:58.511554] LOOP START. Active: False
[2026-01-04 14:31:03.513669] LOOP START. Active: False
[2026-01-04 14:31:08.515186] LOOP START. Active: False
[2026-01-04 14:31:13.515600] LOOP START. Active: False
[2026-01-04 14:31:18.517609] LOOP START. Active: False
[2026-01-04 14:31:23.520735] LOOP START. Active: False
[2026-01-04 14:31:28.523116] LOOP START. Active: False
[2026-01-04 14:31:33.524467] LOOP START. Active: False
[2026-01-04 14:31:38.524562] LOOP START. Active: False
[2026-01-04 14:31:43.526461] LOOP START. Active: False
[2026-01-04 14:31:48.526292] LOOP START. Active: False
[2026-01-04 14:31:53.526924] LOOP START. Active: False
[2026-01-04 14:31:58.527460] LOOP START. Active: False
[2026-01-04 14:32:03.528924] LOOP START. Active: False
[2026-01-04 14:32:08.532653] LOOP START. Active: False
[2026-01-04 14:32:13.534257] LOOP START. Active: False
[2026-01-04 14:32:18.535310] LOOP START. Active: False
[2026-01-04 14:32:23.535570] LOOP START. Active: False
[2026-01-04 14:32:28.536326] LOOP START. Active: False
[2026-01-04 14:32:33.537783] LOOP START. Active: False
[2026-01-04 14:32:38.538735] LOOP START. Active: False
[2026-01-04 14:32:43.540217] LOOP START. Active: False
[2026-01-04 14:32:48.542152] LOOP START. Active: False
[2026-01-04 14:32:53.543556] LOOP START. Active: False
[2026-01-04 14:32:58.544775] LOOP START. Active: False
[2026-01-04 14:33:03.547168] LOOP START. Active: False
[2026-01-04 14:33:08.552054] LOOP START. Active: False
[2026-01-04 14:33:13.553063] LOOP START. Active: False
[2026-01-04 14:33:18.554214] LOOP START. Active: False
[2026-01-04 14:33:23.554769] LOOP START. Active: False
[2026-01-04 14:33:28.555900] LOOP START. Active: False
[2026-01-04 14:33:33.557696] LOOP START. Active: False
[2026-01-04 14:33:38.558256] LOOP START. Active: False
[2026-01-04 14:33:43.560235] LOOP START. Active: False
[2026-01-04 14:33:48.562010] LOOP START. Active: False
[2026-01-04 14:33:53.564797] LOOP START. Active: False
[2026-01-04 14:33:58.565330] LOOP START. Active: False
[2026-01-04 14:34:03.566266] LOOP START. Active: False
[2026-01-04 14:34:08.567365] LOOP START. Active: False
[2026-01-04 14:34:13.568269] LOOP START. Active: False
[2026-01-04 14:34:18.569950] LOOP START. Active: False
[2026-01-04 14:34:23.578680] LOOP START. Active: False
[2026-01-04 14:34:28.580253] LOOP START. Active: False
[2026-01-04 14:34:33.581291] LOOP START. Active: False
[2026-01-04 14:34:38.582225] LOOP START. Active: False
[2026-01-04 14:34:43.583741] LOOP START. Active: False
[2026-01-04 14:34:48.585452] LOOP START. Active: False
[2026-01-04 14:34:53.586035] LOOP START. Active: False
[2026-01-04 14:34:58.587893] LOOP START. Active: False
[2026-01-04 14:35:03.590265] LOOP START. Active: False
[2026-01-04 14:35:08.591512] LOOP START. Active: False
[2026-01-04 14:35:13.593272] LOOP START. Active: False
[2026-01-04 14:35:18.594356] LOOP START. Active: False
[2026-01-04 14:35:23.595221] LOOP START. Active: False
[2026-01-04 14:35:28.596761] LOOP START. Active: False
[2026-01-04 14:35:33.598663] LOOP START. Active: False
[2026-01-04 14:35:38.600191] LOOP START. Active: False
[2026-01-04 14:35:43.602364] LOOP START. Active: False
[2026-01-04 14:35:48.602957] LOOP START. Active: False
[2026-01-04 14:35:53.604295] LOOP START. Active: False
[2026-01-04 14:35:58.605339] LOOP START. Active: False
[2026-01-04 14:36:03.606584] LOOP START. Active: False
[2026-01-04 14:36:08.608507] LOOP START. Active: False
[2026-01-04 14:36:13.609406] LOOP START. Active: False
[2026-01-04 14:36:18.611051] LOOP START. Active: False
[2026-01-04 14:36:23.612855] LOOP START. Active: False
[2026-01-04 14:36:28.614460] LOOP START. Active: False
[2026-01-04 14:36:33.616354] LOOP START. Active: False
[2026-01-04 14:36:38.618375] LOOP START. Active: False
[2026-01-04 14:36:43.619802] LOOP START. Active: False
[2026-01-04 14:36:48.621232] LOOP START. Active: False
[2026-01-04 14:36:53.622744] LOOP START. Active: False
[2026-01-04 14:36:58.623301] LOOP START. Active: False
[2026-01-04 14:37:03.625781] LOOP START. Active: False
[2026-01-04 14:37:08.626921] LOOP START. Active: False
[2026-01-04 14:37:13.630161] LOOP START. Active: False
[2026-01-04 14:37:18.632150] LOOP START. Active: False
[2026-01-04 14:37:23.633347] LOOP START. Active: False
[2026-01-04 14:37:28.634732] LOOP START. Active: False
[2026-01-04 14:37:33.636062] LOOP START. Active: False
[2026-01-04 14:37:38.637407] LOOP START. Active: False
[2026-01-04 14:37:43.638353] LOOP START. Active: False
[2026-01-04 14:37:48.639054] LOOP START. Active: False
[2026-01-04 14:37:53.668783] LOOP START. Active: False
[2026-01-04 14:37:58.672057] LOOP START. Active: False
[2026-01-04 14:38:03.672505] LOOP START. Active: False
[2026-01-04 14:38:08.676788] LOOP START. Active: False
[2026-01-04 14:38:13.679056] LOOP START. Active: False
[2026-01-04 14:38:18.679538] LOOP START. Active: False
[2026-01-04 14:38:23.681864] LOOP START. Active: False
[2026-01-04 14:38:28.683408] LOOP START. Active: False
[2026-01-04 14:38:33.685124] LOOP START. Active: False
[2026-01-04 14:38:38.686968] LOOP START. Active: False
[2026-01-04 14:38:43.690344] LOOP START. Active: False
[2026-01-04 14:38:48.693673] LOOP START. Active: False
[2026-01-04 14:38:53.695409] LOOP START. Active: False
[2026-01-04 14:38:58.695971] LOOP START. Active: False
[2026-01-04 14:39:03.697062] LOOP START. Active: False
[2026-01-04 14:39:08.698187] LOOP START. Active: False
[2026-01-04 14:39:13.699720] LOOP START. Active: False
[2026-01-04 14:39:18.700978] LOOP START. Active: False
[2026-01-04 14:39:23.702527] LOOP START. Active: False
[2026-01-04 14:39:28.704509] LOOP START. Active: False
[2026-01-04 14:39:33.705083] LOOP START. Active: False
[2026-01-04 14:39:38.706474] LOOP START. Active: False
[2026-01-04 14:39:43.706596] LOOP START. Active: False
[2026-01-04 14:39:48.706344] LOOP START. Active: False
[2026-01-04 14:39:53.707185] LOOP START. Active: False
[2026-01-04 14:39:58.709214] LOOP START. Active: False
[2026-01-04 14:40:03.710837] LOOP START. Active: False
[2026-01-04 14:40:08.714030] LOOP START. Active: False
[2026-01-04 14:40:13.717931] LOOP START. Active: False
[2026-01-04 14:40:18.719344] LOOP START. Active: False
[2026-01-04 14:40:23.720232] LOOP START. Active: False
[2026-01-04 14:40:28.721082] LOOP START. Active: False
[2026-01-04 14:40:33.721840] LOOP START. Active: False
[2026-01-04 14:40:38.723045] LOOP START. Active: False
[2026-01-04 14:40:43.724683] LOOP START. Active: False
[2026-01-04 14:40:48.726143] LOOP START. Active: False
[2026-01-04 14:40:53.726849] LOOP START. Active: False
[2026-01-04 14:40:58.729184] LOOP START. Active: False
[2026-01-04 14:41:03.730083] LOOP START. Active: False
[2026-01-04 14:41:08.732160] LOOP START. Active: False
[2026-01-04 14:41:13.733772] LOOP START. Active: False
[2026-01-04 14:41:18.734403] LOOP START. Active: False
[2026-01-04 14:41:23.734322] LOOP START. Active: False
[2026-01-04 14:41:28.734455] LOOP START. Active: False
[2026-01-04 14:41:33.735465] LOOP START. Active: False
[2026-01-04 14:41:38.736415] LOOP START. Active: False
[2026-01-04 14:41:43.738063] LOOP START. Active: False
[2026-01-04 14:41:48.739955] LOOP START. Active: False
[2026-01-04 14:41:53.741528] LOOP START. Active: False
[2026-01-04 14:41:58.741971] LOOP START. Active: False
[2026-01-04 14:42:03.743843] LOOP START. Active: False
[2026-01-04 14:42:08.745466] LOOP START. Active: False
[2026-01-04 14:42:13.746564] LOOP START. Active: False
[2026-01-04 14:42:18.747787] LOOP START. Active: False
[2026-01-04 14:42:23.749503] LOOP START. Active: False
[2026-01-04 14:42:28.750261] LOOP START. Active: False
[2026-01-04 14:42:33.752552] LOOP START. Active: False
[2026-01-04 14:42:38.752953] LOOP START. Active: False
[2026-01-04 14:42:43.753798] LOOP START. Active: False
[2026-01-04 14:42:48.754768] LOOP START. Active: False
[2026-01-04 14:42:53.756334] LOOP START. Active: False
[2026-01-04 14:42:58.853923] LOOP START. Active: False
[2026-01-04 14:43:03.855558] LOOP START. Active: False
[2026-01-04 14:43:08.858002] LOOP START. Active: False
[2026-01-04 14:43:13.859399] LOOP START. Active: False
[2026-01-04 14:43:18.861052] LOOP START. Active: False
[2026-01-04 14:43:23.862039] LOOP START. Active: False
[2026-01-04 14:43:28.863670] LOOP START. Active: False
[2026-01-04 14:43:33.866143] LOOP START. Active: False
[2026-01-04 14:43:38.868027] LOOP START. Active: False
[2026-01-04 14:43:43.869141] LOOP START. Active: False
[2026-01-04 14:43:48.870183] LOOP START. Active: False
[2026-01-04 14:43:53.871526] LOOP START. Active: False
[2026-01-04 14:43:58.872748] LOOP START. Active: False
[2026-01-04 14:44:03.873659] LOOP START. Active: False
[2026-01-04 14:44:08.874245] LOOP START. Active: False
[2026-01-04 14:44:13.875032] LOOP START. Active: False
[2026-01-04 14:44:18.876152] LOOP START. Active: False
[2026-01-04 14:44:23.879094] LOOP START. Active: False
[2026-01-04 14:44:28.880540] LOOP START. Active: False
[2026-01-04 14:44:33.882867] LOOP START. Active: False
[2026-01-04 14:44:38.886693] LOOP START. Active: False
[2026-01-04 14:44:43.888901] LOOP START. Active: False
[2026-01-04 14:44:48.890144] LOOP START. Active: False
[2026-01-04 14:44:53.891308] LOOP START. Active: False
[2026-01-04 14:44:58.891584] LOOP START. Active: False
[2026-01-04 14:45:03.892365] LOOP START. Active: False
[2026-01-04 14:45:08.893810] LOOP START. Active: False
[2026-01-04 14:45:13.894417] LOOP START. Active: False
[2026-01-04 14:45:18.895521] LOOP START. Active: False
[2026-01-04 14:45:23.896457] LOOP START. Active: False
[2026-01-04 14:45:28.898220] LOOP START. Active: False
[2026-01-04 14:45:33.925548] LOOP START. Active: False
[2026-01-04 14:45:38.926678] LOOP START. Active: False
[2026-01-04 14:45:43.927745] LOOP START. Active: False
[2026-01-04 14:45:48.929447] LOOP START. Active: False
[2026-01-04 14:45:53.931160] LOOP START. Active: False
[2026-01-04 14:45:58.931280] LOOP START. Active: False
[2026-01-04 14:46:03.933076] LOOP START. Active: False
[2026-01-04 14:46:08.933919] LOOP START. Active: False
[2026-01-04 14:46:13.934910] LOOP START. Active: False
[2026-01-04 14:46:18.937307] LOOP START. Active: False
[2026-01-04 14:46:23.939708] LOOP START. Active: False
[2026-01-04 14:46:28.941998] LOOP START. Active: False
[2026-01-04 14:46:33.944077] LOOP START. Active: False
[2026-01-04 14:46:38.944846] LOOP START. Active: False
[2026-01-04 14:46:43.946812] LOOP START. Active: False
[2026-01-04 14:46:48.948048] LOOP START. Active: False
[2026-01-04 14:46:53.949550] LOOP START. Active: False
[2026-01-04 14:46:58.950232] LOOP START. Active: False
[2026-01-04 14:47:03.952456] LOOP START. Active: False
[2026-01-04 14:47:08.954653] LOOP START. Active: False
[2026-01-04 14:47:13.956969] LOOP START. Active: False
[2026-01-04 14:47:18.957259] LOOP START. Active: False
[2026-01-04 14:47:23.961766] LOOP START. Active: False
[2026-01-04 14:47:28.962825] LOOP START. Active: False
[2026-01-04 14:47:33.964757] LOOP START. Active: False
[2026-01-04 14:47:38.966470] LOOP START. Active: False
[2026-01-04 14:47:43.968059] LOOP START. Active: False
[2026-01-04 14:47:50.308522] MAIN MODULE LOADED
[2026-01-04 14:47:50.363183] LOOP START. Active: False
[2026-01-04 14:47:55.365283] LOOP START. Active: False
[2026-01-04 14:48:00.366235] LOOP START. Active: False
[2026-01-04 14:48:05.367656] LOOP START. Active: False
[2026-01-04 14:48:10.368644] LOOP START. Active: False
[2026-01-04 14:48:15.370972] LOOP START. Active: False
[2026-01-04 14:48:20.372623] LOOP START. Active: False
[2026-01-04 14:48:25.373549] LOOP START. Active: False
[2026-01-04 14:48:30.374124] LOOP START. Active: False
[2026-01-04 14:48:35.375149] LOOP START. Active: False
[2026-01-04 14:48:40.376955] LOOP START. Active: False
[2026-01-04 14:48:45.378389] LOOP START. Active: False
[2026-01-04 14:48:50.380452] LOOP START. Active: False
[2026-01-04 14:48:55.382526] LOOP START. Active: False
[2026-01-04 14:49:00.384988] LOOP START. Active: False
[2026-01-04 14:49:05.385637] LOOP START. Active: False
[2026-01-04 14:49:10.387099] LOOP START. Active: False
[2026-01-04 14:49:15.388287] LOOP START. Active: False
[2026-01-04 14:49:20.391048] LOOP START. Active: False
[2026-01-04 14:49:25.392242] LOOP START. Active: False
[2026-01-04 14:49:30.392727] LOOP START. Active: False
[2026-01-04 14:49:35.393841] LOOP START. Active: False
[2026-01-04 14:49:40.394791] LOOP START. Active: False
[2026-01-04 14:49:45.395744] LOOP START. Active: False
[2026-01-04 14:49:50.398235] LOOP START. Active: False
[2026-01-04 14:49:55.398933] LOOP START. Active: False
[2026-01-04 14:50:00.400666] LOOP START. Active: False
[2026-01-04 14:50:05.402674] LOOP START. Active: False
[2026-01-04 14:50:10.404174] LOOP START. Active: False
[2026-01-04 14:50:15.406084] LOOP START. Active: False
[2026-01-04 14:50:20.407392] LOOP START. Active: False
[2026-01-04 14:50:25.408678] LOOP START. Active: False
[2026-01-04 14:50:30.410307] LOOP START. Active: False
[2026-01-04 14:50:35.412579] LOOP START. Active: False
[2026-01-04 14:50:40.414263] LOOP START. Active: False
[2026-01-04 14:50:45.416488] LOOP START. Active: False
[2026-01-04 14:50:50.418162] LOOP START. Active: False
[2026-01-04 14:50:55.419861] LOOP START. Active: False
[2026-01-04 14:51:00.420976] LOOP START. Active: False
[2026-01-04 14:51:05.422214] LOOP START. Active: False
[2026-01-04 14:51:10.424084] LOOP START. Active: False
[2026-01-04 14:51:15.425429] LOOP START. Active: False
[2026-01-04 14:51:20.426993] LOOP START. Active: False
[2026-01-04 14:51:25.429219] LOOP START. Active: False
[2026-01-04 14:51:30.430254] LOOP START. Active: False
[2026-01-04 14:51:35.431842] LOOP START. Active: False
[2026-01-04 14:51:40.432782] LOOP START. Active: False
[2026-01-04 14:51:45.434381] LOOP START. Active: True
[2026-01-04 14:51:49.859694] Mode: Test | Binance Items: 673 | Bybit Items: 554
Candidate BLESS: Diff=0.1493% vs Min=0.01% | PriceDiff=0.21%
Candidate GUN: Diff=0.0812% vs Min=0.01% | PriceDiff=0.02%
Candidate FLOW: Diff=2.1897% vs Min=0.01% | PriceDiff=6.65%
Candidate ACE: Diff=0.0659% vs Min=0.01% | PriceDiff=0.35%
Candidate NKN: Diff=0.1338% vs Min=0.01% | PriceDiff=0.03%
Candidate ROSE: Diff=0.0565% vs Min=0.01% | PriceDiff=0.00%
Candidate AKE: Diff=0.2651% vs Min=0.01% | PriceDiff=0.24%
Candidate LA: Diff=0.0990% vs Min=0.01% | PriceDiff=0.09%
Candidate AVAAI: Diff=0.1134% vs Min=0.01% | PriceDiff=0.17%
Candidate BAN: Diff=0.0936% vs Min=0.01% | PriceDiff=0.15%
Candidate CROSS: Diff=0.1129% vs Min=0.01% | PriceDiff=0.01%
Candidate DOOD: Diff=0.0957% vs Min=0.01% | PriceDiff=0.19%
Candidate HIVE: Diff=0.0808% vs Min=0.01% | PriceDiff=0.10%
Candidate 4: Diff=0.0584% vs Min=0.01% | PriceDiff=0.20%
Candidate PROVE: Diff=0.0504% vs Min=0.01% | PriceDiff=0.07%
Candidate EPT: Diff=0.3541% vs Min=0.01% | PriceDiff=0.58%
Candidate DOLO: Diff=0.1039% vs Min=0.01% | PriceDiff=0.02%
Candidate PUMPBTC: Diff=0.0609% vs Min=0.01% | PriceDiff=0.07%
Candidate 1000LUNC: Diff=0.0535% vs Min=0.01% | PriceDiff=0.09%
Candidate SCR: Diff=0.0539% vs Min=0.01% | PriceDiff=0.08%
Candidate PTB: Diff=0.3900% vs Min=0.01% | PriceDiff=0.68%
Candidate STORJ: Diff=0.0666% vs Min=0.01% | PriceDiff=0.01%
Candidate B: Diff=0.1725% vs Min=0.01% | PriceDiff=0.12%
Candidate M: Diff=0.2584% vs Min=0.01% | PriceDiff=0.09%
Candidate F: Diff=0.0676% vs Min=0.01% | PriceDiff=0.09%
Candidate EPIC: Diff=0.0620% vs Min=0.01% | PriceDiff=0.12%
Candidate NAORIS: Diff=0.3091% vs Min=0.01% | PriceDiff=0.32%
Candidate SXP: Diff=2.1467% vs Min=0.01% | PriceDiff=0.75%
Candidate ID: Diff=0.0537% vs Min=0.01% | PriceDiff=0.07%
Candidate SHELL: Diff=0.0844% vs Min=0.01% | PriceDiff=0.06%
Candidate STO: Diff=0.2479% vs Min=0.01% | PriceDiff=0.24%
Candidate ARIA: Diff=0.0511% vs Min=0.01% | PriceDiff=0.10%
Candidate ASTR: Diff=0.0843% vs Min=0.01% | PriceDiff=0.17%
Candidate GPS: Diff=0.1357% vs Min=0.01% | PriceDiff=0.07%
Candidate SIGN: Diff=0.0508% vs Min=0.01% | PriceDiff=0.08%
Candidate SUSHI: Diff=0.0528% vs Min=0.01% | PriceDiff=0.08%
Candidate REZ: Diff=0.0832% vs Min=0.01% | PriceDiff=0.09%
Candidate BTR: Diff=0.1745% vs Min=0.01% | PriceDiff=0.28%
Candidate ESPORTS: Diff=0.0638% vs Min=0.01% | PriceDiff=0.09%
Candidate BAT: Diff=0.0598% vs Min=0.01% | PriceDiff=0.11%
Candidate SWARMS: Diff=0.1696% vs Min=0.01% | PriceDiff=0.21%
Candidate SPELL: Diff=0.0957% vs Min=0.01% | PriceDiff=0.10%
Candidate OXT: Diff=0.0659% vs Min=0.01% | PriceDiff=0.27%
